aanvullend-beleid-bodemenergie,http://geo-portaal.zuid-holland.nl/arcgis/services/PGR/PGR_AanvullendBeleidBodemenergie/MapServer/WMSServer?SERVICE=WMS&REQUEST=GetCapabilities,404,Service Not Found or Not Started,8440cefa-09fc-4342-8c83-4d27ed840ee8
aanvullend-beleid-bodemenergie,http://geo-portaal.zuid-holland.nl/arcgis/services/PGR/PGR_AanvullendBeleidBodemenergie/MapServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,404,Service Not Found or Not Started,7b20b570-a346-46c6-a5d8-925897ca9181
aardkunde-dobben,http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,0,"HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Max retries exceeded with url: /arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities (Caused by ReadTimeoutError(""HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Read timed out. (read timeout=3)"",))",2d86ff38-68fd-4870-accd-0553eb92d691
aardkunde-esdekken,http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,0,"HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Max retries exceeded with url: /arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities (Caused by ReadTimeoutError(""HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Read timed out. (read timeout=3)"",))",655bd86b-f928-4c9d-9ac5-4c4b82060c63
aardkunde-periodes,http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,0,"HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Max retries exceeded with url: /arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities (Caused by ReadTimeoutError(""HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Read timed out. (read timeout=3)"",))",7652d12f-64e4-4cb7-a79b-b62cc9267aff
aardkunde-pleistoceen-3m-nap,http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,0,"HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Max retries exceeded with url: /arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities (Caused by ReadTimeoutError(""HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Read timed out. (read timeout=3)"",))",3b7e9f1c-dc02-4547-8daa-c5d8fb01ae44
aardkunde-terpen,http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,0,"HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Max retries exceeded with url: /arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities (Caused by ReadTimeoutError(""HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Read timed out. (read timeout=3)"",))",e6be062f-8b30-4959-8bc6-1cdd1a3725f7
aardkunde-veen-2m-maaiveld,http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,0,"HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Max retries exceeded with url: /arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities (Caused by ReadTimeoutError(""HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Read timed out. (read timeout=3)"",))",7e825e77-3165-47a3-a76a-8d7d524dc7d5
aardkundige-waarden-in-flevoland,http://\\Dattero\kgodata\Geo_Data\Metadata\metadata.gdb,0,"HTTPConnectionPool(host='%5C%5CDattero%5Ckgodata%5CGeo_Data%5CMetadata%5Cmetadata.gdb', port=80): Max retries exceeded with url: / (Caused by ProtocolError('Connection aborted.', gaierror(-2, 'Name or service not known')))",5621d3e7-b3b0-4203-a861-500cb9d55025
aardkundig-waardevolle-gebieden-01,http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities,0,"HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Max retries exceeded with url: /arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities (Caused by ReadTimeoutError(""HTTPConnectionPool(host='geoportaal.fryslan.nl', port=80): Read timed out. (read timeout=3)"",))",43603493-d2ae-4e2a-a785-97d8d96cb28b
